Emotion,Text
sadness,නමුත් මට සුලු ගැන ගැටළු ඇති වුණා
sadness,එබී බලන්න තවමත් මෙතන විනෝදජනක වෙලාවල් නිදාගන්න ඕනේ වැඩ කරන්න මෙතන ටිකක් සිසිල් ගැහැණු ළමයි ඉන්නවා නමුත් ඇයව මග හැරීම තරම් සිසිල් නැහැ
love,ට්විටාස්කෝප් මගේ මේස් රොක් කරන්නේ නැහැ දැනටමත්
hate,සමලිංගිකයින්ට මම අද රෑ විතරයි හැදුවේ
worry,මම මුදල් ආපසු ගෙවන්නේ නැහැ නමුත් ඔවුන් ගිණුම් නැවත ලබා ගන්නවා සොරා හැක් කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
sadness,අද ගණිත පරීක්ෂණයක් කළා
worry,මගේ යාළුවෙක්ගෙන් ඒක ඇහිලා තියෙනවා මෑතකදී මම බර වැඩි වුණා එයා දැනගෙන හිටියේ නැහැ
sadness,හිසරදයක් එක්ක ඇඳේ වැතිර ඉන්නවා අහ්හ්හ්හ්හ් ඔයාගෙ කෝල් එක එනකම් ඉන්න
sadness,ඊයේ රෑ ඉන්ටර්නෙට් නෑඒක හරිම කම්මැලියිඊළඟ රෑ ඔයාව දැක්කේ නෑ
surprise,නෑ එයාලා හැමෝම නිදාගන්නේ මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙන්නේ
sadness,ෆිලීගේ කටහඬ ඇහෙනවා මම ඒකට ආදරෙයි ම්ම් චීස් ස්ටීක් මගේ පෙම්වතා නැති වුණාට මම නිවාඩුවට ආදරෙයි
sadness,එයා මැරුණා ඉන්න මැජික් ජැක් ගැන මොකද මම ඒක කියෙව්වා
hate,මට සමාවෙන්න
worry,රැට් රොක්ඩ් නැෂ්විල් ටොනිට් එක දෙයක් නරක නැහැ ඒගොල්ලන්ට තාමත් විනෝදජනක සංදර්ශනයක් තියෙනවා පර්සි ඒ හොට් බැට් බෝයි පෙනුම
worry,තවදුරටත් කිසිදු අත්අඩංගුවට ගැනීමක් නැහැ මට දුකයි
neutral,මම හාපර්ස් දූපත බලමින් හිටියා හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි හි
sadness,කවුරුත් ඒක අල්ලගත්තා කියලා හිතුවේ නෑ
worry,තාම ඒකේ බැටළු පැටවෙක් නැති එක කණගාටුවට කරුණක්
sadness,මට කේක් කෑල්ල අමතක වුණු නිසා ගෙදර ආපහු යනවා
neutral,ඊයේ රෑ අන්තර්ජාලය තිබුණේ නැහැ ළඟපාත ගෑස් වැඩ කරන තැනක දැවැන්ත පිපිරීමක් සිදු වුණා ස්ටෑන්ඩ්බයි එකේ
sadness,මගේ අම්මලා ඡන්දය දීම නවත්තන එක ගැන සහ කෙටි කාලයක් දිනන්නේ නැති එක ගැන මට දැනෙන්න සලස්වන්න හදනවා මම ඇඬුවා වගේ
worry,ඒක නෑ
worry,රැකියා කරන දවස
worry,අද හවස වැඩ තියෙනවා
sadness,ආපසු ගෙවීම් නැහැ නමුත් ඔවුන් ගිණුම් ලබා ගන්නවා සතියක් වගේ ගත වෙනවා සොරා හැක් භාවිතා කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
worry,මට කේක් කෑල්ල අමතක වෙලා නිසා ගෙදර යන්න වෙනවා
worry,මේක බේරගන්න බැරි දෙයක් කියලා මම හිතනවා
worry,කිසිවෙකු යන්නේ නැහැ
worry,මට කණගාටුයි මම හිතන්නේ නැහැ මම කලින් වගේ පෙනුන දේට සාපේක්ෂව මම අඩුම තරමින් එළියට වෙලා ඉන්නවා කියලා
neutral,අද චිකිත්සාවෙන් මහන්සි වෙලා බෙහෙත් බිව්වේ නැත්නම් උපන් දවසේ උදේට සතුටුයි මිෂු ආදරෙයි ඔයා
relief,ගැහැණු ළමයෙක් මොට කෙනෙක් දැන් මගේ සිතුවිලි වල හරිම අපූරු දවසක් තිබුණා ආතතිය ඇති කරන දේවල් කිහිපයක් එක්ක ගෙදර එන්න
neutral,මගේ ශුභවාදී දේවල් අපි හැමෝටම හොඳ වෙයි කියලා අහලා මට දුකයි
enthusiasm,මම ඔර්ලන්ඩ් එකට යන්නම්
neutral,ඔයා දුක් විඳිනවා
worry,ඇඳේ වැතිරිලා ඉන්නවා
sadness,වැඩක් නැහැ
surprise,ඇඳේ වැතිර ඉන්නවා
neutral,වැඩ කරන දිනය
hate,කවුරුත් හිතුවේ නැහැ තේරුනා
neutral,අසල ගෑස් වර්ක්ස් එකක අන්තිමට ලොකු පිපිරීමක් වුණා
sadness,ලූක් විශ්වාසයි
relief,නෑ එයාලා ඔක්කොම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙන්නේ
sadness,ඊයේ රෑ ඉන්ටර්නෙට් නෑඒක හරිම කම්මැලියිඊළඟ රෑ ඔයාව දැක්කේ නෑ
hate,ගෙදරට ආපහු යනවා මොකද මම
empty,මම ටැකෝසෝන් එකට ගොඩක් කිට්ටුවෙන් හිටියා
neutral,ඒක නරකයි
worry,මම මෙච්චර මහන්සියි
sadness,මම නව ට්විටර්ෆෝන් යාවත්කාලීනය බාගත කළේ ඔවුන් නව ට්වීට් සඳහා ටයිප් කිරීමේ ගැටලුව විසඳනවා යැයි සිතමින් නමුත් ඔවුන් එසේ කළේ නැත
relief,ඔයාට බොරු කියන්න බෑ හැම දෙයක්ම ගැන බොරු කියන්න බෑ
worry,නෑ ඒ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළ තීරයේ ජීවත් වෙනවා
sadness,අද රෑ බාර් එකේ ඇඟිල්ලක් කැඩුනා කියලා මම හිතනවා ස්ටෙපින් එකට ස්තූතියි බීමත් කෙල්ල මගේ හැමතැනම ස්ටෙපින් කළාට
sadness,මම නෙට් එකට වෛර කරනවා
sadness,පළමු කොටසේ නියමුවා හරහා යන්න උත්සාහ කරනවා
worry,හ්ම්ම් ඔව් ඒක මටම හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊ
worry,ගෙදර තනියම කරන්න වැඩි දෙයක් නැහැ
worry,ගෙදර යන්න ඕන
worry,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හිතන්නේ ඒවා සුපිරියටම ඇහෙනවා
sadness,ඇඳේ වැතිර ඉන්නවා ගොඩක් කලින්
worry,ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි
hate,ඔයාලා යන එක ගැන මම කොච්චර උද්යෝගිමත්ද කියලා මම හිතුවා ඒත් ඊට පස්සේ මට තේරුණා ඔයාලා යනවා දකින්න කොච්චර දුකද කියලා
sadness,නයිට් එන්න පැය ගණනක් ගත වී ඇත
worry,ඒක මාව අවුස්සනවා මට එරිකාට පස්සෙන් එන්න දෙන්නෙ නෑ
sadness,මට ගොඩක් අවුල්
neutral,ඇත්තටම නිදිමත නැහැ නැවතත් නිවැරදි වචනය එතරම් වැඩක් නැහැ
love,අනේ ඔයාට රහස ගැන මට කියන්න බැහැ
sadness,මම ගොඩක් මහන්සියි
neutral,ආව් ඔයා මාව අෆ්ලො කරන්නේ නැද්ද එහෙනම් මම අඬනවා
sadness,ඊයේ රෑ ඉන්ටර්නෙට් නෑඒක හරිම කම්මැලියිඊළඟ රෑ ඔයාව දැක්කේ නෑ
love,නෑ මම අඬන්නේ නැහැ
worry,මම මගේ බල්ලට ගොඩක් ආදරෙයි
worry,මගේ ශුභවාදී දේවල් අපි හැමෝටම හොඳ වේවි කියලා අහන්න ලැබීම ගැන මට කණගාටුයි
neutral,මම බාගත කළා අලුත් ට්විටර්ෆෝන් යාවත්කාලීන කිරීම හිතුවේ අලුත් ට්වීට් වල ටයිප් කිරීමේ ගැටලුව විසඳනවා කියලා නමුත් නැහැ
worry,මට කණගාටුයි මම කලින් වගේ පෙනුන දේට සාපේක්ෂව මම අඩුම තරමින් එළියට වෙලා ඉන්නේ නැහැ
surprise,ඇඳේ වැතිර ඉන්නවා
neutral,ඔව් මට හොඳටම නින්ද ගිහින් නැති නිසා මම අම්මාව ඇහැරෙව්වා මොකද මම ගායනා කරමින් හිටියා ඇය ඔයා ගැන පැහැදීමක් නෑ
surprise,මගේ යාළුවා මම මෑතකදී ටොන් ගණනක් බර වැඩි වුණා ඒ මම කියලා එයා දැනගෙන හිටියේ නැහැ
fun,අපි වෙනසට අකමැතියි ඒ නිසා අපි ජීවිත කාලය පුරාම රසිකයන් ඕ ඒ වෙනකොට අපි කොල්ලව මුණගැහිලා නැත්නම් මොකක් හරි දරුණු වැරැද්දක් වෙලා තියෙනවා
sadness,කවුද දන්නේ නෑ
neutral,මල්ලි බ්ලූම් මේ සති අන්තයේ එල් පැසෝ හි විවෘත නොකරනු ඇත ඉල් ගඩොල් මිලදී ගෙන එය භුක්ති විඳින්න මට සහෝදරයන් බ්ලූම් කරන ආකාරය දැකගත හැකි වන තුරු
sadness,මම වෛර කරනවා පිළිකාව මට වෛර කරනවා මට වෛර කරනවා මට වෛර කරනවා
relief,බොරුකියාඔයාට හැමදේටම බොරු කියන්න බෑ
neutral,හිටින්න ආවේ උදේ පාන්දර අන්තිම පරිච්ඡේදය කියවන්න කැමති නැති නිසා ඒක ඉවර වෙන්න මට ඕන නෑ
worry,නෑ ඒගොල්ලෝ ඔක්කොම නිදාගන්නේ මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙන්නේ
love,අනේ ඔයාට රහස ගැන මට කියන්න බැහැ
sadness,ඩීසල් යාරිස් එම්පීජී දුකයි ඒක ඇමරිකාවේ නැහැ ඒක නියමයි
love,මට දැනෙනවා තවත් බල්ලෙක් නැහැ
worry,හොඳයි පැවරුම් සඳහා වැඩි කාලයක් ගත වෙනවා
neutral,ඒක මට කරදරයක්
worry,දැන් මම බලලා මානසික අවපීඩනයෙන් පෙළෙනවා
sadness,මම දන්නවා මම ඔයා නැතුව සාදයක් කරනවා
worry,ටයිපින් ගැටලුව විසඳනවා කියලා හිතලා මම අලුත් ට්විටර්ෆෝන් යාවත්කාලීනය බාගත කළා අලුත් ට්වීට් වලට ඒත් නෑ නෑ
neutral,ආත්මාර්ථකාමීයි අන්තිමට බබා තමයි දුක් විඳින්නේ
neutral,මම දන්නවා නමුත් මම කිව්වා වගේ මේ දේවල් ගැන විමර්ශනය කරන්න එයාලට කොච්චර කාලයක් ගතවෙයිද කියලා මට අදහසක් නැහැ
love,තවදුරටත් සංවර්ධනයක් අත් අඩංගුවට ගත්තේ නැහැ මට දුකයි
sadness,නිදාගන්න එපා
empty,ඒක මාව අවුස්සනවා එරිකාට පස්සෙන් එන්න දෙන්නෙත් නෑ
neutral,උදේ දෙතුන් පාරක් උදේ පාන්දරින්ම ආපහු යන්න
neutral,ඇඳේ වැතිර ඉන්නවා ෆාආ අඩුම තරමේ මම කලින් වගේ පෙනුනත් එක්ක සසඳනකොට
sadness,මට මේ පීඩනය දැනෙනවා
worry,ඔයා හොඳින්ද
happiness,මට නිදාගන්න ඕනේ ඒත් මට මහන්සිත් නැහැ
sadness,කේක් කෑල්ල අමතක කරපු නිසා ආපහු ගෙදර යනවා
neutral,මෑතකදී මම ටොන් ගණනක් බර වැඩි කර ගත් ඔබේ මිතුරෙකුගෙන් එය මගේ අවධානයට ලක්ව ඇත ඔහු දැන සිටියේ නැහැ ඒ මම කියලා
hate,නරක යාළුවෙක්
worry,නෑ ඒ හැමෝම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළ තීරයේ ජීවත් වෙනවා
hate,අනේ ඒක එරික් හරි වෙන කෙනෙක් හරි ඔයාගේ කොණ්ඩේ සෙල්ලම් කරන්න ඕන වුණාම
sadness,මම හිතන්නේ සර් එකේ ඒක සිසිල් වෙලා කියලා හහ් ඒක මෙතන නැහැ තාත්තයි මමයි බඩු පැක් කරනකොට දවල් ඉඳන් මම දාඩිය දානවා නවත්තලා නැහැ
hate,කවුරුත් ඒක අල්ලගෙන හිටියේ නැහැ කියලා මම හිතුවේ නැහැ
worry,ඇත්තටම නිදිමත නැහැ කම්මැලියි කියන එක තමයි ආයෙත් හරි වචනය වැඩි වැඩක් නැහැ
sadness,අනේ කමක් නෑ මම හිතන්නේ මේක ගොඩ ගන්න බෑ
enthusiasm,තවත් අත්අඩංගුවට ගැනීමක් නැහැ මට දුකයි
neutral,මම ගොඩක් දුකයි
worry,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හිතන්නේ ඒවා විශිෂ්ටයි මම හොඳ නම් විතරයි
neutral,මම අද රෑ විතරයි සමලිංගිකයින්ට හැදුවේ
worry,අනේ කමක් නෑ මට හිතෙන්නේ මේක ගොඩ ගන්න බෑ කියලා
happiness,ඒක නම් හරිම කරදරයක්
sadness,මට කණගාටුයි මම හිතන්නේ නැහැ මම කලින් වගේ පෙනුන දේට සාපේක්ෂව මම අඩුම තරමින් එළියට වෙලා ඉන්නවා කියලා
worry,මම වූඩූ ගමේ කොටසේ කෝප් එකේ අන්තිම කොටස් වෙනකම් සෙල්ලම් කළා මගේ සුපුරුදු සහකරු නැති වෙනකම්
fun,ඒක තියෙනවා මගේ යාළුවෙක්ගෙන් මට දැනගන්න ලැබුණා මම මෑතකදී බර ටොන් එකක් වැඩි වුණා එයා දැනගෙන හිටියේ නැහැ ඒ මම කියලා
worry,ඇඳේ වැතිර ඉන්නවා ගොඩක් කලින්
worry,මම ගොඩක් අවුල් වෙලා
neutral,ඒක මගේ හිතේ තියෙනවා
neutral,ඇය මට පහර දෙන දේ ඇය දන්නවා නම් හොඳයි ඇය මගේ හදවත සොරකම් කළේ නැහැ කවදාවත් එය ආපසු දුන්නේ නැහැ ඉඳහිට ඇය වගේ ඉන්න කැමතියි බලන්න මට තියෙන දේ මට තියෙන කැස්සක් තියෙනවා මට අසනීප වෙන්න බෑ මට ඉස්සරහින් ලොකු සති අන්තයක් තියෙනවා
relief,නෑ එයාලා ඔක්කොම නිදාගෙන ඉන්නේ මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙන්නේ
hate,අනේ ඔයාට රහස කියන්න බෑ
sadness,නිදාගන්න එපා
surprise,මම ගිටාර් වලට ආදරෙයි ඒවා වාදනය කරනවා මම හිතන්නේ ඒවා විශිෂ්ට ලෙස ශබ්ද කරනවා මම වඩා හොඳ නම් පමණි
neutral,ගුවන් ටිකට්පත් මෙච්චර මිල අධික ඇයි
worry,මට සමාවෙන්න මම හිතන්නේ නැහැ මම අඩුම තරමේ කා එක්කවත් සසඳන විට
surprise,ඒක මම කියලා එයා දැනගෙන හිටියේ නැහැ
sadness,තවමත් අත්අඩංගුවට ගැනීමක් නැහැ මට දුකයි
sadness,ඇත්තටම නිදිමත නෑ කම්මැලියි කියන එක තමයි හරි වචනේ වැඩිය වැඩ නෑ
neutral,මම බාගත කළා අලුත් ට්විටර්ෆෝන් යාවත්කාලීන කිරීම හිතුවේ අලුත් ට්වීට් වල ටයිප් කිරීමේ ගැටලුව විසඳනවා කියලා නමුත් නැහැ
worry,මෑතකදී මම ටොන් ගණනක් බර වැඩි කර ගත් ඔබේ මිතුරෙකුගෙන් එය මගේ අවධානයට ලක්ව ඇත
happiness,කවුරුත් ඒක අල්ලගෙන හිටියේ නෑ කියලා හිතුවේ නෑ
sadness,මට ගේම් එක මග හැරුනා
hate,ඇඳේ වැතිරිලා ඉන්නවා
neutral,මගේ අම්මලා මට ඡන්දය දෙන එක නවත්තලා දිනන්නෙ නැති එක ගැන තවත් දැනෙන්න දෙන්න හදනවා මම ඇඬුවා වගේ
worry,ලේඩි ගාගා ට්වීට් කළා ඔයා දැනගන්න ඕන නිසා එයාගේ වීඩියෝ එක ලීක් වෙන එක ගැන එයාගේ හිතට දැනුනේ නෑ
worry,ගැහැණු ළමයෙක් දැන් මගේ සිතුවිලි වල හරිම මෝඩයි
neutral,මගේ පොත හොයාගත්තා අද රෑ ඇත්ත කඩදාසි බැඳපු සඟරාවක් පටන් ගන්නකොට මගේ තොල් උඩින් කරදරකාරී ලපයක් තියෙනවා මට හර්පීස් තියෙනවා වගේ පේනවා
sadness,එක පාරක් හහා දුප්පත් අබී තාමත් රිදෙනවා
neutral,ඇයි ගුවන් ටිකට්පත් මෙච්චර මිල අධික
neutral,මගේ නහය ගැලවිලා ගියා මට ඒක හොයාගන්න බෑ අද ඇම්ස්ටර්ඩෑම් ගිහින් අලුත් එකක් ගන්න ඕන
happiness,නෑ ඒ හැමෝම නිදාගෙන ඉන්නවා මොකද එයාලා නැගෙනහිර වෙරළේ ජීවත් වෙනවා
neutral,මට ඉක්මනින් නිදාගන්න ඕනේ
fun,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක තමයි අන්තිමේදී බබා තමයි දුක් විඳින්නේ
hate,අද රෑ ගෙදර ඉන්නවා
worry,වැඩ කරන්න හිතෙන්නේ නැහැ මම හිතන්නේ මම මේක නිතර නිතර ට්වීට් කරනවා
surprise,ඒක මට පිස්සු හැදෙනවා මට එරිකාගේ පස්සෙන් එන්න දෙන්නේ නැහැ
worry,මොකද ගුවන් සමාගම් සුපිරි කම්මැලියි
sadness,එබී බලන්න තවමත් මෙතන විනෝදජනක වෙලාවල් නිදාගන්න ඕනේ වැඩ කරන්න මෙතන ටිකක් සිසිල් ගැහැණු ළමයි ඉන්නවා නමුත් ඇයව මග හැරීම තරම් සිසිල් නැහැ
worry,මගේ අම්මලා මට ඡන්දය දීම නවත්තලා දිනන්නේ නැති එක ගැන තවත් හැඟීමක් ඇති කරන්න හදනවා මම ඇඬුවා වගේ
sadness,මගේ ශුභවාදී බව අහන්න ලැබීම ගැන මට කණගාටුයි අපි හැමෝටම දේවල් හොඳ වෙයි
neutral,ගර්භනී කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට වෛරයි ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක හොඳයි අන්තිමට බබා තමයි දුක් විඳින්නේ
worry,මට සමාවෙන්න මම හිතන්නේ නැහැ මම අඩුම තරමේ කා එක්කවත් සසඳන විට
hate,ට්විටාස්කෝප් එක මගේ මේස් රොක් කරන්නේ නැහැ දැනටමත් යනවා
neutral,මම ගොඩක් දුකයි
neutral,මුදල් ආපසු ගෙවීමක් නැත නමුත් ඔවුන් එසේ කරනවා ගිණුම් නැවත ලබා ගැනීමට සතියක් වගේ යනවා සොරා හැක් භාවිතා කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක ස්ථිරයි
enthusiasm,මට ගේම් එක මග හැරුණා
sadness,කමක් නෑ
worry,මට කණගාටුයි මම හිතන්නේ නැහැ මම කලින් වගේ පෙනුන දේට සාපේක්ෂව අඩුම තරමින් මම ඉවත් වෙලා ඉන්නවා කියලා
sadness,මට දැන් ස්කොට් ඕනේ
hate,වචන ලිංගිකත්වයට පස්සේ ඒක කවදාවත් පටන් ගත්තේ නෑ
worry,මම අලුත් ට්විටර්ෆෝන් යාවත්කාලීනය බාගත කළා
neutral,කැලි කැලිට ඉන්න බෑ මගේ සති අන්තය සැමරීමට වයින් වීදුරුවක් තියෙනවා කියලා හිතලා වැකා තවමත් හෙට වැඩ කරනවා
relief,ඔයාට බොරු කියන්න බෑ හැම දෙයක්ම ගැන බොරු කියන්න බෑ
love,වයිකොනෙඩුමාරන් එල්ටීටීඊ වගේ යාළුවෝ එක්ක වැරදි වෙලාවක වැරදි උපදෙස් ඕන වුණේ නෑ වැරදි වෙලාවට වැරදි උපදෙස් ඕන තරම් මරණ වලට හේතු වුණා ඒ වගේම නැති වුණු හේතුවක් නිසා
neutral,නයිට් එන්න
worry,මට කණගාටුයි මම හිතන්නේ නැහැ මම කලින් වගේ පෙනුන දේට සාපේක්ෂව මම අඩුම තරමින් එළියට වෙලා ඉන්නවා කියලා
sadness,රස්සාවක් ගොඩක් ඕනේ
happiness,මම ගොඩක් තනිකඩයන් සඳහා කුක් තේරීම් ගැන ඇත්තටම සතුටු නැහැ
neutral,මට බැරි වුණු නිසා දුකයි කොල්ලො එක්ක සෙල්ලම් කරන්න
neutral,ඔයාව රවට්ටන්න මට සති විතරයි තියෙන්නේ
surprise,මම දකින විට මට වෛර කරනවා ගැබිනි කාන්තාවන් දුම්පානය කරනවා ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක තමයි අන්තිමේදී බබා දුක් විඳින කෙනා
worry,මගේ එකම සහායකයා මගේ එකම සහායකයා නොවේ
worry,මම හිතන්නේ ඒක සිසිල් වෙලා කියලා හහ් ඒක මෙතන නැහැ තාත්තයි තාත්තයි දවල් ඉඳන් දහවල් ඉඳන් මම දහඩිය දානවා නවත්තලා නැහැ මම බඩු පැක් කර කර හිටියා
sadness,මට ගේම් එක මග හැරුනා
worry,ම්ම් ඔව් ඒක මටම හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊ නරකයි
hate,කවුරුත් හිතුවේ නැහැ තේරුනා
worry,රිවීව් ගිණුම් සතියක් වගේ යනවා හොරා හැක් කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් ඒක පර්මබන්
sadness,මම අලුත් ට්විටර්ෆෝන් යාවත්කාලීනය බාගත කළේ ඔවුන් අලුත් ට්වීට් සඳහා ටයිප් කිරීමේ ගැටලුව විසඳනවා කියලා හිතාගෙන නමුත් නැහැ ඔවුන් එසේ කළේ නැහැ
sadness,කවුරුත් ඒක අල්ලගත්තා කියලා මම හිතුවේ නැහැ
neutral,ඒක නම් කරන්න බෑ
boredom,ඒක මම කියලා එයා දැනගෙන හිටියේ නැහැ
surprise,ඒක හොඳයි
love,මුදල් ආපසු ගෙවීමක් නැත නමුත් ඔවුන් ගිණුම් ලබා ගන්නවා සතියක් වගේ ගත වෙනවා සොරා හැක් භාවිතා කරන්නේ නැහැ කියලා බලාපොරොත්තු වෙනවා නැත්නම් එය ස්ථිරයි
sadness,මම ඔර්ලන්ඩ් යනවා
sadness,මම වෛර කරනවා පිළිකාව මට වෛර කරනවා මට වෛර කරනවා මට වෛර කරනවා
sadness,ගෑණු ළමයෙක් දැන් මගේ සිතුවිලි වල ඉන්නවා
neutral,අනේ කමක් නෑ මේක ගොඩ ගන්න බෑ කියලා මම හිතනවා
worry,ටයිපින් ගැටලුව විසඳනවා කියලා හිතලා මම අලුත් ට්විටර්ෆෝන් යාවත්කාලීනය බාගත කළා අලුත් ට්වීට් වලට ඒත් නෑ නෑ
sadness,අද රෑ බාර් එකේ ඇඟිල්ලක් කැඩුනා කියලා මම හිතනවා ස්ටෙපින් එකට ස්තූතියි බීමත් කෙල්ල මගේ හැමතැනම ස්ටෙපින් කළාට
worry,සමහර වෙලාවට මට හිතෙනවා පසුගිය ගිම්හානයේ ආරම්භය වගේ දේවල් ආයෙත් ගියොත් හොඳයි කියලා
worry,නමුත් දැන් මට දුරකථනයක් ගන්න සල්ලි නැහැ
worry,හ්ම් ඔව් ඒක මටම හොඳ සටහනක් වෙන්න ඇති මොකද ඊඊ කෙල්ලේ මම තාමත් ජිම් එකේ ඉන්නවා උදේ පාන්දර වැඩ කරනවා
boredom,ඕහ් ඔයාට රහස කියන්න බෑ
worry,එය තවමත් කණගාටුදායකයි
worry,මම එහෙම කළා ටැකෝසෝන් ස්ථානයට ගොඩක් පරක්කු වෙලා
neutral,වැඩ කරන දිනය
worry,ඔයාට රහස කියන්න බෑ
boredom,ඕහ් ඔයාට රහස කියන්න බෑ
sadness,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක හොඳයි අන්තිමේදී බබා තමයි දුක් විඳින්නේ
sadness,මට මේ පීඩනය දැනෙනවා
worry,සෑම දෙයක්ම ගැන බොරු කියන්න බැහැ
worry,ඇඳේ වැතිර ඉන්නවා ගොඩක් වේලාසනයි
neutral,හහහ ඒක භයානක නැහැ වෙන එකක් නම්
neutral,සමලිංගිකයන්ට මම අද රෑ විතරයි හැදුවේ
neutral,ඒක මාව අවුස්සනවා එරිකාට පස්සෙන් එන්න දෙන්නේ නැහැ
hate,ඔයාලා යන එක ගැන මම කොච්චර උද්යෝගිමත්ද කියලා මම හිතුවා ඒත් ඊට පස්සේ මට තේරුණා ඔයාලා යනවා දකින්න කොච්චර දුකද කියලා
neutral,අනේ කමක් නෑ
sadness,බොරු කියනවා
worry,මගේ යාළුවෙක්ගෙන් ඒක ඇහුණා මම මෑතකදී බර වැඩි වුණා
worry,හ්ම්ම්ම් බැහැ
worry,ගර්භනී කාන්තාවන් දුම්පානය කරනවා දකින විට මට වෛර කරනවා ඒක වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක සාද් අවසානයේ බබා දුක් විඳිනවා කියලා මට දුකයි
worry,සිකුරාදා රෑ ලයිට් එක දානවා අනේ දෙවියනේ
sadness,ගැබිනි කාන්තාවන් දුම්පානය කරනවා දකිනකොට මට ඒක හරිම වගකීම් විරහිතයි ආත්මාර්ථකාමීයි ඒක හොඳයි අන්තිමේදී බබා තමයි දුක් විඳින්නේ
anger,අනේ කමක් නෑ මේක බේරගන්න බෑ කියලා මම හිතනවා
sadness,මගේ අම්මලා මට ඡන්දෙ දෙන එක නවත්තන එක ගැන සහ කෙටිකතාව දිනන්නෙ නැති එක ගැන තවත් හැඟීමක් ඇති කරන්න හදනවා මම ඇඬුවා වගේ
fun,ඇත්තටම නිදිමත නෑ කම්මැලියි කියන එක තමයි ආයෙත් හරි වචනය වැඩිය වැඩ නෑ
worry,සමලිංගිකයන්ට මම අද රෑ විතරයි හැදුවේ
sadness,රස්සාවක් ගොඩක් ඕනේ
worry,ඊව් ඩේලි
surprise,මගේ යාළුවා මම මෑතකදී ටොන් ගණනක් බර වැඩි වුණා ඒ මම කියලා එයා දැනගෙන හිටියේ නැහැ
neutral,මගේ ශුභවාදී දේවල් අපි හැමෝටම හොඳ වෙයි කියලා අහලා මට දුකයි
sadness,මට සමාවෙන්න මම කලින් වගේ පෙනුන දේට සාපේක්ෂව මම අඩුම තරමින් ඈත් වෙලා ඉන්නේ නැහැ
worry,රැට් රොක්ඩ් නැෂ්විල් ටොනිට් එක දෙයක් නරක නැහැ ඒගොල්ලන්ට තාමත් විනෝදජනක සංදර්ශනයක් තියෙනවා පර්සි ඒ හොට් බැට් බෝයි පෙනුම
neutral,මගේ අම්මලා මට ඡන්දය දෙන එක නවත්තලා දිනන්නෙ නැති එක ගැන තවත් දැනෙන්න දෙන්න හදනවා මම ඇඬුවා වගේ
neutral,ඔයා කවදාවත් ඔයාගේ ඩීඑම් එකට උත්තර දුන්නේ නෑ මම ඔයාට ඔයාගේ තොරතුරු එව්වා
sadness,අනේ කමක් නෑ මම හිතන්නේ මේක ගොඩ ගන්න බෑ කියලා
happiness,මගේ ට්විටර් එක ආයෙත් හැක් කරලා තියෙනවා
empty,ඇඳ ඒක හෙට ඉස්කෝලෙ යන්න බලාපොරොත්තු වෙනවා ඒත් දැන් මට එච්චර සනීපයක් නෑ
surprise,අම්මේ අනුගාමිකයින් නැති කරගන්න එක දිගටම කරගෙන යන්න මේක හරිම දුකයි මට දවසක් ඕනේ ඒක තමයි මගේ ඉලක්කය
hate,ඇඳේ වැතිර ඉන්නවා ෆාආ අඩුම තරමේ මම කලින් වගේ හිටියාට සාපේක්ෂව
