cleaned_content,sentiment
i love the cheesey ones and the cool orignal ones skips i have when my brother has them got to try them u c haha,happiness
somehow i have managed to sober up and now i remember how crap i felt pre drink,sadness
parrrttyplaying twister and getting tipsywell everyone else is lol,happiness
not smoking sucks sucks fucking sucks i want a cig,hate
then maybe you should think of spending christmass there too,neutral
the plan to not spend money is not going well,worry
gonna get off to try and catch some zs no more high school after tomorrow which really sucks i wish i didnt have to grow up,hate
that sucks majorlyhhhmmmnnnim thinkingi wouldve said the self tanner or a really good concealerim stuck,hate
that sucks well state starts tomorrow so im headin bed nitey nite,neutral
she must have a very adwancrd sense of humor thats funny,fun
cleaning the house going out at to see a soccergame with friends,neutral
aw now wheres that little asian girl who runs round pooping her pants in public i miss laughing at her,boredom
what does it matter we all love you take your pick ha,enthusiasm
haha happened to me a lot of times know the feeling happy mums day to ur mom too delle,love
can i bring yself to go for the heroism badges achievement,neutral
wow im really bored and pissed i left my library card when i had to take the booky wook back,anger
warren and hannah are dead oh my godd seriousslyyy this is a tragidy,surprise
is ur boyfriend better than mine hell no,enthusiasm
i love her too she shouldve won,love
i want an invite sick of seeing all these links for people playing and being left out,anger
glad to hear youre okay could have really hurt by the sounds of it is the couch okay lol,relief
somebody actually told me that lol,fun
i got mcdonalds surpisingly its not a popular drunk food option its sucks that all diners arent hrs here anymore,sadness
twitter wont change anything twitter what the heck is wrong with you,empty
good job i have the track in my head cos sadly cant access it boo,happiness
is a very happy bee she is starting to feel better amp cant wait for her birthday what is days,enthusiasm
welcome,empty
sounds a bit alan partridge aha good morning by the way,surprise
not talking to anais anymore,hate
quotstop your twitteringquot maryland cookies bgt,worry
even arnold couldnt save the parks how is this providing jobs,empty
after i said hi how are you she did at double take amp left damn it i should have let her look around first,surprise
girlrain is my song forrealll,fun
he has to have a new suitcase but he is just so bloody indecicive everytime he wants to buy something it takes hours,boredom
oficially back to work all systems up and running smoothly,enthusiasm
dead stopped in the express lane this would happen when i choose to take it no way out now ugh hopefully this gets moving,boredom
may the th be with you,fun
welcome,empty
its an app to finally face the truth you lack time and never be able to achieve all your goals in life,relief
john john and i just switched the meaning of pimp to someone who still pwns at halo when theyre wasted hahahaha another amazing night,fun
haul video coming up,neutral
yeeeee haha the funniest thing is when dudes that cant ball bring their hot gfs along so they can watch them get murked,happiness
you gave me the inspiration for my last update,relief
i have a license and a carat least for now,love
hopefully it dont go that far sometimes i feel like renouncing my roots,anger
wish leigh a happy mothers day for me its midnight in ny,happiness
goodnight world goodnight eddplant,empty
what did you get my day is alright havent done anything yet leaving soon to my stepsister though,surprise
is never around for the sl quiz i want water park tickets waaaa,neutral
i was watching harpers island lol there was no vodka involved,empty
not sexy with tubes sticking out of my stomach but thanks,relief
you just let me know how that goes,happiness
i am in a middle of a industrial estate in pirate ffancy dressready to do a mile walk,surprise
welcoming new followers amp thanks for the love tweet on,love
last day of classes,neutral
have fun i dont have school for a while wish i could go to germany its like hour away xoxo,fun
i hate thunder and lightning,hate
im suppose to get up to go find sumthin to wear tomorrow but i cant get up,sadness
dont worry youll get your stamina back soon what kind of distances do you run usually,neutral
nursing my sick guniea pig back to health and my cat is being jealous,fun
i feel better today,relief
been there sucks like hell,boredom
aww happy mothers day to you too girlie kingston is lucky to have such a great mommy,happiness
btw ear is getting better its about time finally i say goodnight twitter world even though yall are already asleep xoxo,relief
ahhh ok remember the film now never saw it though will have to check it out thanks,relief
oops i did it againreally shouldnt have,worry
watching twilight and eating potato salad,empty
probably something to do with friendfeed,relief
just got up with,empty
happy mothers day to ya tomorrow,neutral
i always feel guilty about it,anger
happy mothers day everyone still playing pet society,love
when are gonna release another album already i miss them,enthusiasm
nothing much juss really bored hbu,boredom
i just read the sweetest story in the entire world love it,love
the hair looks sicckkkk happy mothers day to all the mothers,surprise
why am i up so early,surprise
exhausted after a hour work week,sadness
gmornin twitterville took the day off from tweetn yesterday amp im quotjonesingquot to get back into it today,neutral
ah just remembered some hopefully good news is coming hopefully soon from someone i know once again may the happydance commence,relief
haha you didnt see my macbook or my imac in that pic so feel extra jealous lolll,fun
im really excited that im a queen bee on the power mom list i feel really really honored nielsenpowermoms,enthusiasm
watching mens volleyball on tv for some reason its not as good as womens beach volleyball cant quite place why,boredom
come overhere then the dutch dont dub might go in an hour bringtaraback,empty
dont know pretty though,surprise
i dont know who gon do the yelling amp cussing for upgrades when u go,hate
mbb has been cryopreserved may return in the future,boredom
ha im giving spymaster a chance just curious will miss u,neutral
while im stuck inside in elk grove village working all day someone should enjoy it,enthusiasm
i feel lazy watching other people work on my roof kat woman out,neutral
doesnt sound so great at all palmpre,sadness
mmm yummy looks like an invitation to me,surprise
dont get too excited bby i hear thunder rolling in,empty
yes boo for soar throats and earaches,anger
how do you forgive yourself for hurting the one you love the most,sadness
the app said i need or later,love
today marking,empty
yes join us all we require is a cupcake donation,enthusiasm
beast i have had enough,boredom
i assume nobody uses portableapps anymore except for myself in that case forget what i said earlier,neutral
get back to tokyo manwe miss you,neutral
about pm squeaking hell squeaking d,boredom
stupid red hair is too difficult on the upkeep redyed it a more manageable brownred boo,anger
i love the video for da funk by daft punk,love
lol your tweets are so funny i met you in calgary youre awesome cant wait for the next hp movie,relief
i love puerto rico alsobeen all over island working austin pr weekly love it,love
ahhh u know what really sucks i sprained my toe ouch,hate
wishing adam wasnt at work,worry
haha i was in your boat yesterday youll pick it up in no time,love
degree centigrade is much hotter than degree centigrade,worry
ten min on what im doing to stimulate biz off sale good customer service awards breast cancer camp koozies product variety,happiness
ishra haha cassie ventura not after her haircut where were you yesterday during the beat music awards,fun
drews new songs make me cry i miss thomas already,relief
but but who will produce the next starsailor record,worry
great ive gpt tp put the lyrics in finsih the background then go over some writing and then done,happiness
where r u yvonne havent seen u in the google groups in a day or so miss ya,worry
lol usually i always do not bn too well tho how old r ur kids,love
i incredily love reading your tweets theyre so entertaining keep it up,fun
good night all miles of trails with peeks to climb in the morning fun times ahead,happiness
hi everybody sorry for the long listening iwas too busy,worry
fb i hate when i try amp support my local bookstore amp they never have what i need,sadness
alright ill let you slide on that one,neutral
you are very welcome you deserve followfriday every day,fun
i dont know what to do time is going by so fast,boredom
yay i think i found it and a few more,enthusiasm
those cakes sure look good took one if its ok with you ummm good tks,happiness
hahahaha nahh sowwieee i had to git a shirt to match dez sneakerz nd idk if they da same color aghhh o lol,hate
ok all have hit the point of relaxation heading to bed sleep well and happy mothers day to all you moms out there night,happiness
it wasnt the best flick to be sure im just ready for quotstar trekquot now,hate
many thanx guys,neutral
musically these headphones are awesome for staying in my ear not so good,hate
gunna spend today with my sexy best friend,relief
the black canyon seriously have the best fusion food around,happiness
i dont understand the whole follow friday thing,surprise
oh no your poor cars testicles,surprise
i am excited ashley and matt should be here within the next half hour and thats when it all really starts for me,enthusiasm
awww cuuuute newborns are so fun,love
sitting in traffic while my car gets rained on just washed it on sunday doesnt the weather know this is california,anger
boreddisgusting weatherboredsooo bored for my last weekend here,boredom
omg i realy cant sleep ughh,boredom
i sent one abrams and it was all surrounded with weather,surprise
i am kind of excited to go to school today i dont know why hopefully it will be a good day,happiness
haha i did a ltiitle bit yesterday and ive been out all day so i think ima chick an allnighter hahaha not cool,anger
thanks alot hope you can help spread the word and get people involved we are already making a real difference,relief
nomatter how much i sleep am still tired,boredom
itd take jamy months to figure out how it works i wanted to go see a movie tonight then i remembered the game was on,worry
told you that when you got rid of the last one did you listen,anger
has just joined twitter reeeally dont understand how to use this lol,hate
hope u feel better sweetie,worry
what did i do to you sheesh,anger
thanks for the following and support lt,relief
my nose is runny my head is pounding and teeth hurt like a bitch man i feel awful,worry
mcfly evolution for the th time round,enthusiasm
hell yeah i missed u last nite lol do u like my opinion,fun
you are,neutral
lost a battle with the couchphone has been blowing up,empty
to prove i still have good tastenow dance dance dance dance to the radio,love
i didnt like the new terminator movie man,empty
happy mothers day to all the moms out there in twitterland,enthusiasm
told you that when you got rid of the last one did you listen,anger
that is never good especially on a friday night,worry
good morning twitters i am soooo tiredi really need stay off of twitterlol this shit is taking over my lifelol,boredom
lol anyway ni shi wai guo ren,happiness
going to french anyone want to pick me up,enthusiasm
friday tubes at work are slow,boredom
superman of course,empty
yay im a blonde again i feel so girly,happiness
i love those boys i missed the chat yesterday it was the firts amp only one ill miss though lt nick jonas lt,boredom
jass warn me b u go to nxt wari am there to have fun,fun
had a good day selling at feria urbana the ladies love them some lasercut felt,happiness
oh my gosh this is the hardest decision of my life who do i chose jonas or green dayugh,worry
hella worth it even if you dont need the full now,happiness
cant wait to leave work,enthusiasm
aaggh my blackberry curve took a gash in the screen the day after we get invisible shields in stock well itll be a good advertisement,relief
monday morning lots to go out just waiting for a mate to add a style to my table and im set,happiness
bored out of my mind,boredom
thanks for following it means a lot to me i love hey monday,love
about to dye my hair and do my nails,enthusiasm
ok time to head into urban outfitters to see what catches my eye then head home since this rain is hindering any more pics for the day,fun
im missing crab legs and attending my going away instead,enthusiasm
snoops uncle who was the coolest dancer ever,fun
sitting in the tax collectors office getting ready to write a check,boredom
i want more,happiness
seriously technology isnt always my friend nothing like doing double research,hate
bit excited are u bradie lol,surprise
nothing just joined up,empty
til the next asaran,empty
had a great weekend in stuttgart at the befahconference wonderful people nice discussions and lots of fun together were strong,love
now going to watch the brand new episode of the hills cant wait,worry
long weekend is over looking forward to end of may then,love
my portfolio v uploaded any comments and feedback are warmly welcomed,neutral
i should stop trying to reach,empty
carol vorderman cancelled her interivew with me so now i have no proof against all you nonbelievers,fun
im sorry megan im sure he will find something quick,sadness
i think that studying has really started taking its toll,boredom
thanks none close to me,anger
that sounds like a good compromise,relief
today is lame because i am not in orlando i am soooo looking forward to next friday,enthusiasm
yeahi hope it turns out more minutes,boredom
its already goodi got to meet you,happiness
has horrible toothache and had only a wink of sleep xx,worry
i cant wait to be home and snuggle with my puppies and my fiance,fun
ive gotten a cold every time ive flown somewhere hrs away in the past year hope to be back in the poolon the bike next week,worry
making a twitter account,empty
going to the doctors,worry
life just isnt fair gt and i feel,worry
gone to the shiggity shwa back sunday,worry
bad week for connectivityarlington panera wifi sucks maybe head to legal seafoods at airport dangmissing metaverse u stream,boredom
i dont know what lender it was yea these people definitely sucked butt toes not friendly or helpful,anger
have to go to work typical sunshine and deep sleep stupid friday,hate
sitting in the tax collectors office getting ready to write a check,boredom
my your rather random,surprise
go to main settings page for iphone and scroll down you will see it,surprise
back from the gym and sorting through my inboxes,relief
up in d with the boys grandpa had to go,love
o yea a how sweet u r good kids,surprise
yeah talking to you was too boring,boredom
will just take a bath,relief
oh that stinks,empty
happy bday,enthusiasm
dead stopped in the express lane this would happen when i choose to take it no way out now ugh hopefully this gets moving,boredom
is starting her pre europe diet today goodbye midnight snacks goodbye iced tea hello momol hahahahaha,neutral
thanks alen it seems that we can only submit community news is this an error or must we prove ourselves,relief
the first time all week i can play wow and i get stuck at quotauthenticatingquot,enthusiasm
i cant studyyyyyyyyyyyyyyyyyyyyyyyyy i have an exam tom,hate
texting my friends and being bored gosh i hate rain,hate
is still stuck in the office working,boredom
im really full had a huge breakfast,love
fml i just spilled my entire can of diet coke in my lap yay,empty
off today no wonder i love mondays movie theatrehere i come,enthusiasm
its stable faster than x and working,enthusiasm
lmao i dont fake being paris anymore look at my bio and by the way i cant log onto your forum,worry
is still awake at am but for way better reasons a fantastic night with fantastic people and fantastic food,relief
i feel like dressing up for the heck of itamp putting make up on haha,fun
heading to a wedding,enthusiasm
i dont think im very well just in time for the weekend,happiness
ah i see now cool dude,surprise
home sweet home lt going to see hannah montana the movie again today lt ddd,happiness
fuck everything,surprise
is still stuck in the office working,boredom
people are cruel sometimes i cant imagine being a star,worry
im starving this diet is killing me but i cant eat after pm,sadness
i really dont like this weather,hate
its,neutral
this day is soo stressful geee lunch was a blast tho how are you guys,hate
murphys law sorry that your computer is not cooperating when you have lots of work my kids are,anger
i knew that jus givin u a hard time hehe,happiness
hey wahts happening in coffeclub i didnt have coffee for two days now,anger
hugs you a sorry you are feeling sad e,sadness
happy mothers day and to the god mothers and step mothers too,happiness
wheres my baby,worry
am feedings for the baby are fun when he is all smiles and coos,happiness
the kids are going to see up without me,neutral
he should be an honourary fluffette such lovely hair whats left,fun
early start today more rain and more miles,enthusiasm
the weather is gross outside it puts me in a bad mood,hate
really all that ill look for it and will report back,fun
yeah it can be tough some times,sadness
how to have a glowing face my complexion is always so pale,sadness
thats so you,neutral
and now the crazy is all gone,relief
learned a lesson the hard way lost my usb stick and backup was a month old,worry
thx for the follow,love
god school is going to suck ass next year,worry
mbb has been cryopreserved may return in the future,boredom
thanks stephen appreciate it,happiness
i just had a lovely lunch of curried rice and mussels with baby octopus yum,happiness
im so sad that im missing the show in ohio its the first show ive missed in years thats been close enough to drive to,worry
back from mountains,happiness
mondayfunday wake up peopleand keep me awake please today is going to be a long onei can already feel it eww,anger
off to the gym my pt is waiting to drill me again this week tjoe tjoe,neutral
pendulum awesome goodbyes suck shut up plz toy story jb d movie moro im tired aaaand im out,boredom
yahoo great always nice to hear successful stories,love
a i guess thats both good and bad moving is not an option i guess mhm so are you hehe we have same time,fun
good morning everyone its back to work for me so wont be able to chat until tonight i hope everyone has a great day,neutral
i think shell pull through,worry
happy maders day,love
friends in ent industry have said it was really really good hopefully i can convince my wife into a date night hhrs,love
nite nite my fellow tweeters goin to put ma ipod in n listen to some westlife missin those guys then headin to sleep early start am x,neutral
today is a tuff daygmorning,love
how dare you apologize to the uk for being gone for a while but dont apologize to america for never touring here at all,hate
i make them good girls go bad,neutral
gratiss,neutral
just made it home time for a shower and some breakie off out to blackpool later for some lunch,relief
i dunno if he saw it happy birthday girl,love
well what can i say you do look hot in your pic thats gotta work for most of us,fun
got a bad headache,sadness
sad making bought guitar hero metallica for my hard working soldier and it is not reading disc,hate
what the hell am i doing awake this early,empty
i want to borrow an mx this weekend,worry
gotta sleeep am so tired good night tweeps,neutral
haha finally hiii friend,fun
i love stereosound hq headphones,neutral
i always feel guilty about it,anger
aw now wheres that little asian girl who runs round pooping her pants in public i miss laughing at her,boredom
thanks i have a teflon liver being scottish i was raised on whisky,fun
internet is painfully slow today,anger
im bored rc is goin maintenance,boredom
what did i learn today never post anything youve sold on ebay using royal mail they lose it i refund compos nowhere near my bad,sadness
just got home from the bank the teller was definitely hitting on me not interested,boredom
sigh exams aint no wer neaaarr finished i have next week bin stressd and i aint guna b bak till end june,hate
lol wow dawg doesnt sound like youre playing i feel bad now haha,sadness
hahahahahahhaaaa god randy i miss you hope youre having a great time buddy catch a wave for me,worry
todays goal tweet more work im off to a good start but havent left the house yet welcome new followers i hope your not too bored yet,happiness
dont i know it i live in the middle of nowhere my house is spider central,empty
at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me,anger
here im staying up with you and youre not talking to me hehe,surprise
sounds nice if you try the recipe you gotta tell me how it turned out,fun
missing bham,love
i have to work in the morning while my friends get to party it upstupid bberry lite flashing red and i have no messages,hate
good times haha ily christian and mo gonna watch dazed and confused in a while ha also my first time watching it ha im so lame,relief
por favor only need five more,enthusiasm
anyone having twitter issues its eating my tweets,empty
yay go taylor swift come to australia again,happiness
morning people just woke up now,enthusiasm
john john and i just switched the meaning of pimp to someone who still pwns at halo when theyre wasted hahahaha another amazing night,fun
is leading dull life this friday babysitting,empty
i was off by one year i really wanted some of jamies cooking books in english not german,anger
isnt going to the movies i got grounded,worry
said that mentioned bears have fun ps bears like peanut butter,fun
i will not be late i will not be late i will not be late,relief
twitterfails fucking hard right nowthis is annoying,anger
this store at the airport is as close as well get to wdw during this trip,enthusiasm
the new tecas driver license design is ugly,hate
wishes you had teased me with movie night,sadness
good weather reminds mei read your post on sugar cane juice n other thingsthis weather calls for some of those things,relief
gah but gregg should have got the hot and talented vote dammit,sadness
got new sneaks todaycant wait to break them instupid rain,boredom
red eye huh yikesget back safe missin ya punk,relief
so is it a day of pleasure for you or is it a personal appearance all in all sounds a good day with good weather,fun
i cant belive you only have one episode to go xx,surprise
whats goin on hun im worried about you,worry
ill go to the movies with you,enthusiasm
fantastic idea you the man but ill end up all lonely when the tourist goes home,enthusiasm
i dont know what lender it was yea these people definitely sucked butt toes not friendly or helpful,anger
my car might have to be totaled,hate
asda ready meal i dont think ill ever be the same again,sadness
laying in the bed boreddddd looking through old cookbooks for new recipes,empty
im saaaaaaaaaaaaaad i need someone to talk to,neutral
sprained my ankle like really badly and tore some stuffs it hurts and its my birthday weekend,worry
loving the cairns clan,love
no offense taken just one of my many controversial views i guess,neutral
meeting the boy,neutral
lol y does ur tweet sound like ur voice yelling at me lol,anger
is it bad that im sitting here watching a pens replay and getting excited i think its the coffee but who knows,worry
i need something t do like hello im fucking bored now um yeh,boredom
thinks aaron is pretty darn awesome,love
thats what we hope for,enthusiasm
living it up at empire hotelfree bottle service it rocks having connections,happiness
i feel like i have to throw up,boredom
missed the cutoff for the free chocolate eh wellbikini season is coming,neutral
thankies no pictures in yetbut soon moff to wash up love have a good satdee xx,love
can you send me two coldplay songs clocks and viva la vida,empty
off to go bampq for new outdoor furniture,surprise
omj my sister brought coldstone cupcakes today instead of a cake to celebrate bdays in family and i was so excited taking pics,happiness
and its off to work i go only days until the kiddos finish,neutral
you did just add me haha xo,relief
is watching mock the week and is slowing cooking,empty
goin out wit shina amp gigi moviez,fun
french isnt meant to be taught to asians,hate
yeah we only went for days im trying to get back in november with my mom for super soak stars weekend,neutral
wow my god the whole ui is sooo much snappier its more responsive than tweetdeck now tweets feel like ims lol,hate
wheres my baby,worry
sephora is having a off sale and im so broke life isnt fair,worry
has a very arduous task to accomplish at workstuff that should have already been done amp as usual it hasnt not because of me either,anger
murphys law sorry that your computer is not cooperating when you have lots of work my kids are,anger
im feeling like ish i just wanna go home and go mimis,worry
marking going ok so far as and bs so far relieved it looks like i have future programmers in class,relief
so im at the point now that it has become apparent that having a degree means jack shit,neutral
chillin wassup ma ayo in cali my day just started idk where u r but u have a gud day ya diggg,relief
omg guys my internet has been down the whole day its still not working ill try fix m,sadness
would like some nutella none to be had,neutral
heyyyyyyyyyyyyy divshite phone is playing soft arses again xx,enthusiasm
i knoww things wont be the samee lt,sadness
wellllll i did most of my homework and i kind of finished with editing and im not as tired this morning as i thought id be,relief
are u serious you touched his arse ohmygod u bitch lol aaaaa y did u tell me that,anger
hello twitting world we are off to best buddies bbq but untill then jay z is on spotify,fun
hell if i know im suffering,surprise
i have geographie next and i hate it,hate
getting rather annoyed at my notebook i know its old and has got wrinkles but its never been this slow before,surprise
whats going on tonight lets partyyyyy,fun
we wont be home till like next month,surprise
the closest is a good two hours,empty
thanks am trying keeping my chin up ouch,fun
is playing restaurant city,surprise
ill give him a hug when i see him tell him i say hi,happiness
deadlines,empty
i cant wait to start my weekend im so sick of working i have to selfmedicate and im fresh out of herb,enthusiasm
offline have to give private lesson now and eran some money,surprise
my hair actually looks kinda fierce today wth listening to u makes me happy,neutral
am screw it im going to bed one love,boredom
just launched twittix v not convinced,hate
more demon sam i need it to numb the pain xxx,anger
aw hugs sorry man if i were rich id buy u a ticket now,surprise
i never knew a dentention was so hard get,anger
i think my bicycle and i just freaked out a custodian who wouldnt have let me in the building if i didnt let myself in with a key,neutral
im so tired,boredom
is in mourning that he is having to miss the homesssssskooooler fair today,sadness
hopes to find more mates that are on this thing,fun
going to watch a dvd with hubbyeagle eye twit u all morrow cia,fun
awhhh age doesnt matter you awesome lady you,love
i was crying all of tuesday cos i find out economics is offically my crying subject lol,sadness
i love that game xxxx,happiness
more demon sam i need it to numb the pain xxx,anger
nooo not too busy for you ever srsly you are my pal im not yet familiar with iphone twitter,worry
do you have a password for the san diego show mine is not working,surprise
wow nowyour really kickin careys butt with this competition see you both very soon,sadness
i just got a call from my chimp buddies want to join the party loads to prepare now wow this is great cup of tea first i think erm,happiness
working on the stores facebook group getting ready to relax and play some im thinking mercenaries tonight me likey explosions,fun
no joke my puppy maddie looks exactly like maui shes so cute,love
who is lili homielili and i am black to be exact lol,fun
okay kool i might be touring all summer long but we can make it happen,fun
have somebody installed vcenter server on windows x w sp sp is not in the compability matrix,sadness
having to write a real looking paper letter not done one of those for a very long time sad really,surprise
look the rosemary in my back garden in camerabags quotloloquot mode,surprise
wearing glasses gives me a headache,neutral
i am parked in fs yet no ticket,relief
ok break over back to the books have fun lovelies,love
the seat was a nice place to go,happiness
zelda fans pandi zelda the minnish cap and a want for more music taste zelda epic iamp,fun
browsing thru adopting agencies im gonna get some exotic kids,enthusiasm
all time low mean so fucking much to me i hope i get to see them in june it would be so awesome gaskarth is amazing,happiness
over herrreeeee,neutral
i loudly said something amp my coworker replied quoti dont know brian klemm but even i love brian klemmquot,surprise
sitting in traffic while my car gets rained on just washed it on sunday doesnt the weather know this is california,anger
waiting to go to the movies later for my th month booored,boredom
a i hates it wen families are brokun up by humuns maybee you see him agin wun day,hate
internet is painfully slow today,anger
bored out of my mind lol,empty
yucky we had our last soccer game of the season todaytryouts start friday,relief
take that back i am insulted,anger
why i enjoy fancy meals on my own smtimes thrs joy in solitude u can really enjoy the food amp its lk a date with the world,happiness
i just fucking cleaned the whole kitchenand the asshole comes home amp is going to make a mess of itmy mom didnt even get to see it,hate
reeeejuvinated and bored as hell,boredom
back from a long day of working its good to finally be at home how is everyone tonight,relief
well what can i say you do look hot in your pic thats gotta work for most of us,fun
definitely need to work out after this business trip too much free food and alcohol im sure ive gained a few pounds,happiness
ughhh have to go back there tonight,hate
today was boringharry potter ftw,boredom
really really wants to go and see coraline,enthusiasm
ohim so borin why not play the computer my moms say because your makin task,empty
dont know pretty though,surprise
aww if i could i would gby,relief
hey there keeping me healthy sister nice to see you have a great day,love
studying for this bullshit econ test,anger
home from chelseas jam sessions lt chelsea abby i luh you,love
gotta check with the bro on thatand mine is a girl,enthusiasm
its s birthday today wish her a good one assholes sleepytime,happiness
fuckinm transtelecom,anger
would luv to hear music too but im out of batteries the tv plays besides but i think this is some kind of vampire movie,sadness
why is this english homework so hard i seem to be getting nowhere,hate
good morning twitters i am soooo tiredi really need stay off of twitterlol this shit is taking over my lifelol,boredom
aiyo so poor thing eh you nevrmine la the night is still young,enthusiasm
im writing an exam on a saturday that should be illegal wheres my weekend,anger
public bathrooms,neutral
goodmorning world,enthusiasm
what are you going hours with out id say my computer or my phone but i did that last week and i didnt care at all,sadness
gain an instant follower just use the tits tag in a tweet wtf lesson learned summer of todd to get a new official tag,hate
oh i wish my dear michael i wish,worry
exactly she becomes completely incapable of anything unless hes there helping her too many of those are out there,surprise
happy mothers day to all the mommies out there be you woman or man as long as youre momma to someone this is your day,love
at least you dont have quad parking haha two cars drove by real fast and spashed mud all over me,anger
im up way to early today work later,sadness
would wish the severe migrains would stop docs prescriptions arent working,hate
i cant my heart aches for her children i wanna adopt alexis,love
is now at school about to take the ecas quotlamequot steal from brennan good job lc and you too brennan,relief
nessa is on maxim magazines hot of,empty
exactly she becomes completely incapable of anything unless hes there helping her too many of those are out there,surprise
being bored is always so much more fun with a companion missing my bff alreadyyyy,sadness
thank you so much that was so nice of you and i was happy to hear you voice youve really started something good xo,happiness
it was just alriiightt,relief
and added it to his collection i was too much of a punk bitch to ask for it back,surprise
happy mothers day mm mums hope you all have a lovely day mamam,sadness
i think he meant this pic i dont know what other one he might have seen but really this is as hot as it gets,surprise
where ya at girliehavent heard from you in a while missing your cheery dispositionlol,fun
gotta get used to pocketwit now damn you twikini,empty
in a meeting discussion colour of bikeshed,neutral
wow im really bored and pissed i left my library card when i had to take the booky wook back,anger
me neither but its no longer about what we want its about fairness and fairness is whatever government says it is,empty
happy birthday,love
not gonna lie im going to miss high school lunches a lot damn,boredom
nice seeing my partner in crimegossip drama queen partner again i missed my manda,enthusiasm
roflmfao you love us better dont you,love
does anyone know how to scale a pic down im trying to change my pic but all my pics r big n i keep cropping themhelp,worry
im sowwie i was a lil late lol it looked good though,fun
oh yeah love his choregoraphy the pantsnot so much,neutral
a bew you wont be here at all this summer,empty
knocked up is sooo godamn funny never gets old quotyoure tupac youre biggiequot lol,fun
yeaaaah tangerang in vacation,happiness
has just woken up from a power nap that feels better nothing planned for tonight though,relief
this is my ohio is for lovers tattoo got the design off the shirt haha but i lost the shirt,sadness
the ending is te funniest youll see you know paranoif is always stuck in my head love it,happiness
carscarscarsi need one ha ha the one i found last night that i wanted so bad is now sold and not to me,sadness
loved it you continue to delight us amber great job on the backing and the video by kudos,happiness
going to get some coffee,empty
i had a super cool dream last night asked me and to be on her show wooo hopes it will come true,happiness
lol takes some getting use to just replying to your email power keeps cutting out here s,boredom
i put a shelf up lol im well proud and yes its my twilight shelf my books the movies going on there and obv my prezzie from lara xd l,relief
dude you are awesome,happiness
my stomach is killing me do j cant sleep,hate
dave i ask you for quotthe fixquot by jk and send hi to my sister lisette and me alejandra from mexico,neutral
tom graduated today,love
star treeeeek only one hot guy there and i get to watch him do his hot stuff woo,love
its because were right,sadness
ooo enjoy and thanks for looking out for ours,relief
stuck in stupid jeuno with flag up wish i was in windy fishing,anger
david aaronovitch is always worth making an exception for good morning by the way,happiness
wish my headachealmost migraine would go away,anger
haha yea quothelpquot technically itz called cheating but my teacher helps us anyways so im not cheating,fun
my room is too hot to sleep in,sadness
my neighbours are far too loud in thier back garden all i can hear is this loud woman that wont stop laughing,boredom
i miss you so much my heart is aching without you bub,sadness
very bad thingsi need to stop thinking,anger
whats sad is that i actually had to google that term that sucks tho,hate
i will press that ignore button,hate
ahhhhh processing shipment sooooooo much,boredom
so sad i have to pay,worry
it says quotthis video is privatequot wtf,surprise
excellent thats always a win im just dealing with a small clique of passiveaggressive resistant managers,empty
iowa is like that sometimes it gets frustrating,empty
is not looking forward to the lsat,empty
rofl okay i dont know but kristin still isnt here,neutral
years ago when my neighbor told me she went to school with sharkboy i didnt caretoo bad bcuz now taylor lautner is a little hottie,fun
how come its so hard to find a guy with the same passion for love as for a woman am i ever going to see the day im lonely yall,worry
theres like no one i actually know on this shizz am dum diggin it,neutral
of course youd be going there when im not there,hate
just that youre not here,empty
happy to help,surprise
tummy hurts oh noes,hate
youtube isnt workingand i wanted to watch britains got talent im debating about having a pity party,boredom
happy mothers day to all your moms,neutral
i totally want some white chocolate macadamia cookies from mrs fields but the mall is soooo far away bleh i think ill make my own,boredom
hey arthur i forgot to say thanks for the flag it is proudly displayed on my bedroom door you are a witty one,love
im up way past my bed time gonna catch sum snl,neutral
why do i even try when deep down inside i kno there pain on the other side,empty
this weekends abouttttto suck,boredom
i totally forgot thats its friday till i read s tweet ha i feel dumb take a breath,hate
cleaning the old apartment today yay,boredom
im heterochallenged but still didnt care for quotmilkquot i thought it was boring,boredom
is supposed to go to an aztex game tonight but is not sure shell be able to make it,worry
i thought it was already winter turns out winter has even started,surprise
is all alone sick of doing this assignment someone do it for me,hate
hahaha im driving so i leave roundabouts when i wake up tomorrow arrive proximately hrs from then see ya tmw,enthusiasm
darn i will think of you on our journey so its like you are really there,sadness
i proudly declare that i no longer haf live fish phobia lol i love em fishies,relief
enjoy the laker game for me guys since ill be at work,happiness
going to the alley tonitehappy birthday prima,love
me too,neutral
happy mothers day to all the mommys exspecially mine love you mommy,happiness
greetings joan just wanted to say i still miss waking up to your pleasant personality amp face in the am hugs angel,surprise
awww shes laavly i had to come in but ive got a stunning wee tan l yourself,fun
yes mondays are hard hope you have a great day too amp have the opportunity to get out at some point into the sun,empty
so things didnt work out as expected well damm,hate
getting axkit running on ubuntu is making my head explode,hate
i dont know what to do time is going by so fast,boredom
thank you,sadness
awesome cheers man dont know if ill have much money left after todays shopping spree though,love
no fun well hopefully you dont have much more to go,empty
i was waitin so many new and good songs about the end but i didnt like it so much,hate
is getting baptized tomorrow and is a college graduate busy weekend,surprise
i was sad yesterday of the guys from my fave band quit the band and they replaced him,sadness
thats awesome man damn i should of sent you an affiliate link lol oh well,surprise
just hanging with my bestie,fun
